,dealer_name,tel,fax,mail,web,types,address,province,postcode
10,บริษัท ศิลป์เจริญ กม.27 จำกัด,02 531-1737 / 02 531-5758,02 994-7671,-,-,สีพ่นซ่อมรถยนตร์,26/345 ม.6 ถ.พหลโยธิน  แขวงสายไหม เขตสายไหม  จ.กรุงเทพมหานคร    10220 ,กรุงเทพมหานคร,10220
11,บริษัท สีรุ่งโรจน์สหกิจ 41 จำกัด,02 465-2251,02 890-1193,-,-,สีพ่นซ่อมรถยนตร์,282  ถ.ประชาธิปก  แขวงวัดกัลยาณ์ เขตธนบุรี  จ.กรุงเทพมหานคร    10600 ,กรุงเทพมหานคร,10600
12,ร้านกิตไพศาล,02 570-4882,-,-,-,สีพ่นซ่อมรถยนตร์,13/3-4 หมู่ 6  ถ.ลาดปลาเค้า เขตบางกะปิ  จ.กรุงเทพมหานคร    10240 ,กรุงเทพมหานคร,10240
13,ร้านเจริญเพนท์,02 434-2281 ,-,-,-,สีพ่นซ่อมรถยนตร์,76/7 ถ.จรัญสนิทวงศ์  แขวงอรุณอมรินทร์  เขตบางกอกน้อย  จ.กรุงเทพมหานคร    10700 ,กรุงเทพมหานคร,10700
14,ร้านชัชวาลย์โลหะภัณฑ์,02 517-0969 / 02 517-1107,-,-,-,สีพ่นซ่อมรถยนตร์,90/10 หมู่13  ถ.สีหบุรานุกิจ เขตมีนบุรี  จ.กรุงเทพมหานคร    10510 ,กรุงเทพมหานคร,10510
15,ร้านวิจิตรโลหะภัณฑ์,02 5301056,-,-,-,สีพ่นซ่อมรถยนตร์,60/4-5   หมู่ 9   ถ.ลาดพร้าว เขตลาดพร้าว  จ.กรุงเทพมหานคร    10230 ,กรุงเทพมหานคร,10230
16,ร้านแสงเจริญฮาร์ดแวร์,02 2751950,-,-,-,สีพ่นซ่อมรถยนตร์,350 ถ.สุทธิสาร ห้วยขวาง เขตห้วยขวาง  จ.กรุงเทพมหานคร    10320 ,กรุงเทพมหานคร,10320
17,หจก.สีซัพพลาย,02 4686758,02 4688693,-,-,สีพ่นซ่อมรถยนตร์,502/6 ม.3 ถ.สุขสวัสดิ์ แขวงจอมทอง เขตจอมทอง  จ.กรุงเทพมหานคร    10150 ,กรุงเทพมหานคร,10150
18,หจก. บี คัลเลอร์เซ็นเตอร์,02 579 4108-9,02 5794109,-,-,สีพ่นซ่อมรถยนตร์,151/18 ซ. พหลโยธิน 34  ถ. พหลโยธิน เขตจตุจักร  จ.กรุงเทพมหานคร    10900 ,กรุงเทพมหานคร,10900
19,ห้างหุ้นส่วนสามัญ สวนธนเพนท์,02 8734829-30,02 873 4829,-,-,สีพ่นซ่อมรถยนตร์,825/368 ม.1 ถ.ประชาอุทิศ แขวงทุ่งครุ เขตทุ่งครุ  จ.กรุงเทพมหานคร    10140 ,กรุงเทพมหานคร,10140
20,บริษัท เอส.เค.ออโต้เพ้นท์ จำกัด,-,-,-,-,สีพ่นซ่อมรถยนตร์,535/28  ซ.วัดพระยายัง ถ.เพชรบุรี เขตราชเทวี  จ.กรุงเทพมหานคร    10400 ,กรุงเทพมหานคร,10400
21,บริษัท เกียรติก้อง ออโต้เซอร์วิส จำกัด,02 5328000,-,-,-,สีพ่นซ่อมรถยนตร์,197 ซ. อ่อนนุช 70/1 แยก 2 แขวงประเวศ  เขตประเวศ  จ.กรุงเทพมหานคร    10250 ,กรุงเทพมหานคร,10250
22,อู่ศรีประชายนต์,-,-,-,-,สีพ่นซ่อมรถยนตร์,224 ซ. จรัญสนิทวงศ์ 42 แขวงบางยี่ขัน   เขตบางพลัด  จ.กรุงเทพมหานคร    10700 ,กรุงเทพมหานคร,10700
23,บริษัท เอส.วัน เพ้นท์ จำกัด,-,-,-,-,สีพ่นซ่อมรถยนตร์,608/11-12 ถ. สาธุประดิษฐ์ แขวงบางโพงพาง  เขตยานนาวา  จ.กรุงเทพมหานคร    10120 ,กรุงเทพมหานคร,10120
24,ร้านไม้ทองเพ้นท์,02 809 9172,-,-,-,สีพ่นซ่อมรถยนตร์,126 ถ. เพชรเกษม แขวงหนองค้างพลู เขตหนองแขม  จ.กรุงเทพมหานคร    10160 ,กรุงเทพมหานคร,10160
25,ร้านวีรชัยการช่าง,-,-,-,-,สีพ่นซ่อมรถยนตร์,202 ซ.ประชาราษฎร์บำเพ็ญ 5 ถ.ประชาราษฎร์บำเพ็ญ แขวงห้วยขวาง   เขตห้วยขวาง  จ.กรุงเทพมหานคร    10320 ,กรุงเทพมหานคร,10320
26,ร้านชัยเจริญโลหะภัณฑ์,02 5171751,-,-,-,สีพ่นซ่อมรถยนตร์,16/9 หมู่ 13 แขวงมีนบุรี  จ.กรุงเทพมหานคร    10510 ,กรุงเทพมหานคร,10510
27,บริษัท พิทักษ์ยนต์แอนด์พิทักษ์การาจ จำกัด,-,-,-,-,สีพ่นซ่อมรถยนตร์,225 หมู่ 5 ถ.พุทธมณฑลสาย 2 แขวงบางแคเหนือ  เขตบางแค  จ.กรุงเทพมหานคร    10160 ,กรุงเทพมหานคร,10160
28,บริษัท พี.ที. เพ้นท์ จำกัด,02 7339489,02 7312250,-,-,สีพ่นซ่อมรถยนตร์,487 ซ.ลาดพร้าว101(วัดบึงทองหลาง) ถ.ลาดพร้าว แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง  จ.กรุงเทพมหานคร    10310 ,กรุงเทพมหานคร,10310
29,หจก.สมพงษ์ มอเตอร์คาร์ส,-,-,-,-,สีพ่นซ่อมรถยนตร์,เลขที่ 301/5  ซ.ประสานสารบรรณ แขวงดินแดง  เขตดินแดง  จ.กรุงเทพมหานคร    10400 ,กรุงเทพมหานคร,10400
30,บริษัท ส.รุ่งเจริญกลการ จำกัด,-,-,-,-,สีพ่นซ่อมรถยนตร์,40/27 ม.1 ถ.เพชรเกษม 92/2 แขวงบางแคเหนือ เขตบางแค  จ.กรุงเทพมหานคร    10160 ,กรุงเทพมหานคร,10160
31,บริษัท ร่วมสร้าง อินเตอร์กรุ๊ป จำกัด,02 7262488,02 7266203,-,-,สีพ่นซ่อมรถยนตร์,33 ซ.เฉลิมพระเกียรติ ร.9 ซ.30 แยก12 แขวงดอกไม้ เขตประเวศ  จ.กรุงเทพมหานคร    10250 ,กรุงเทพมหานคร,10250
32,บริษัท เพ็ชรเกษม คาร์คัลเลอร์ จำกัด,02 3722322,02 3722322,-,-,สีพ่นซ่อมรถยนตร์,21/381 ซ.รามคำแหง 142 แขวงสะพานสูง  เขตสะพานสูง  จ.กรุงเทพมหานคร    10240 ,กรุงเทพมหานคร,10240
33,บริษัท ช.ธนบดีออโต้ จำกัด,02 4151577-9,02 4151718,-,-,สีพ่นซ่อมรถยนตร์,188 ซ.พระรามที่ 2 ซอย 54 แยก 4 แขวงแสมดำ  จ.กรุงเทพมหานคร    10150 ,กรุงเทพมหานคร,10150
34,บริษัท พี.ที.เพ้นท์ จำกัด,02 7339489,-,-,-,สีพ่นซ่อมรถยนตร์,487 ซ.ลาดพร้าว101(วัดบึงทองหลาง) ถ.ลาดพร้าว แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง  จ.กรุงเทพมหานคร    10310 ,กรุงเทพมหานคร,10310
35,บริษัท .เอ็ม.วี.ออโต้บอดี้ แอนด์ เพ็นท์ จำกัด,085 1857523,038 223049,-,-,สีพ่นซ่อมรถยนตร์,324/74 ซ. ยิ้มยิ้ม ม.2 เคหะทุ่งสองห้อง แขวงทุ่งสองห้อง  เขตหลักสี่  จ.กรุงเทพมหานคร    10210 ,กรุงเทพมหานคร,10210
36,ร้านวิชาญยนต์อะไหล่,034 511669,-,-,-,สีพ่นซ่อมรถยนตร์,160/11-12 ถ.แสงชูโตหลังป้อมสหะ อ. เมืองกาญจนบุรี  จ.กาญจนบุรี    71000 ,กาญจนบุรี,71000
37,ร้านมิคซคัลเลอร์,034 622632,-,-,-,สีพ่นซ่อมรถยนตร์,8/18  ซ.ไปรษณีย์ ต. บ้านใต้  อ. เมืองกาญจนบุรี  จ.กาญจนบุรี    72000 ,กาญจนบุรี,72000
38,ร้านวิชาญยนต์อะไหล่,034 511669,-,-,-,สีพ่นซ่อมรถยนตร์,160/11-12  ถ.แสงชูโตหลังป้อมสหะ อ. เมืองกาญจนบุรี  จ.กาญจนบุรี    71000 ,กาญจนบุรี,71000
39,ร้านเสรีภัณฑ์,034 511227,-,-,-,สีพ่นซ่อมรถยนตร์,160/128-128 ศูนย์การค้าแสงชูโต อ. เมืองกาญจนบุรี  จ.กาญจนบุรี    71000 ,กาญจนบุรี,71000
40,ร้านไทยยืนยง,034 561-830,-,-,-,สีพ่นซ่อมรถยนตร์,91-93-95   ถ.แสงชูโตสายใหม่ อ. ท่ามะกา  จ.กาญจนบุรี    71120 ,กาญจนบุรี,71120
41,ร้านสีกาฬสินธุ์,043 821686,043 815686,-,-,สีพ่นซ่อมรถยนตร์,269/10 ถ.ธนะผล  ต. กาฬสินธุ์ อ. เมืองกาฬสินธุ์  จ.กาฬสินธุ์    46000 ,กาฬสินธุ์,46000
42,ร้านเจ็งเชียง,043 861362,-,-,-,สีพ่นซ่อมรถยนตร์,10 หมู่ 4   ถ.ถีนานนท์ อ. สมเด็จ  จ.กาฬสินธุ์    46150 ,กาฬสินธุ์,46150
43,ร้านฮ่ำฮง,055 761062,055 761063,-,-,สีพ่นซ่อมรถยนตร์,46/4  หมู่ 1  ต. ถ้ำกระต่ายทอง อ. พรานกระต่าย  จ.กำแพงเพชร    62110 ,กำแพงเพชร,62110
44,หจก.โรจน์รัชชัย,055 717616,055 711037,-,-,สีพ่นซ่อมรถยนตร์,631/1  ถ.เจริญสุข ต. ในเมือง  อ. เมืองกำแพงเพชร  จ.กำแพงเพชร    62000 ,กำแพงเพชร,62000
45,หจก.ทรัพย์เดชศรี,-,-,-,-,สีพ่นซ่อมรถยนตร์,333 หมู่ 1  ต. นครชุม  อ.เมืองกำแพงเพชร  จ.กำแพงเพชร    62000 ,กำแพงเพชร,62000
46,ร้านกำแพงเพชร ช. เจริญกิจ,055 712921,-,-,-,สีพ่นซ่อมรถยนตร์,20-22  ถ.ราชวิถี  ต.ในเมือง อ. เมืองกำแพงเพชร  จ.กำแพงเพชร    62000 ,กำแพงเพชร,62000
47,ร้านแสงชัยชุมแพ,043 311305,-,-,-,สีพ่นซ่อมรถยนตร์,273/15 ถ.มะลิวัลย์ อ. ชุมแพ  จ.ขอนแก่น    40130 ,ขอนแก่น,40130
48,ร้านไหมไทยวัสดุภัณฑ์,043 311124,-,-,-,สีพ่นซ่อมรถยนตร์,534/1 หมู่ 2 ถ.ชุมแพ - ภูเขียว อ. ชุมแพ  จ.ขอนแก่น    40310 ,ขอนแก่น,40310
49,หจก.ขอนแก่นสกุลไชย,043 238237,-,-,-,สีพ่นซ่อมรถยนตร์,4/5-6 ถ.หน้าเมือง  ต. ในเมือง อ. เมือง  จ.ขอนแก่น    40000 ,ขอนแก่น,40000
50,ร้านวรพลเทรดดิ้ง,043 238289,-,-,-,สีพ่นซ่อมรถยนตร์,114  ถ.หน้าเมือง อ. เมืองขอนแก่น  จ.ขอนแก่น    40000 ,ขอนแก่น,40000
51,ร้านสีรถยนต์ขอนแก่น.,043 338220,-,-,-,สีพ่นซ่อมรถยนตร์,227/76 หมู่ที่ 6  ถ.ประชาสโมสร ต.ในเมือง    อ. เมืองขอนแก่น  จ.ขอนแก่น    40000 ,ขอนแก่น,40000
52,หจก. หมไทยโลหะภัณฑ์ ...,-,-,-,-,สีพ่นซ่อมรถยนตร์,534  หมู่ 2   ถ. ชุมแพ-ภูเขียว ต. ชุมแพ  อ. ชุมแพ  จ.ขอนแก่น    40130 ,ขอนแก่น,40130
53,หจก.ถาวรวัสดุเซ็นเตอร์,043 273088,-,-,-,สีพ่นซ่อมรถยนตร์,127-129 หมู่ 1 ถ.ราชนิกูล ต.ในเมือง   อ. บ้านไผ่  จ.ขอนแก่น    40110 ,ขอนแก่น,40110
54,ร้านมั่นชัยอะไหล่ (ขอนแก่น),043 324288,043 324288,-,-,สีพ่นซ่อมรถยนตร์,177/31-32 หมู่ 17  ถ. มิตรภาพ ต. ในเมือง  อ. เมืองขอนแก่น  จ.ขอนแก่น    40000 ,ขอนแก่น,40000
55,ร้านกรุงทองโลหะกิจ,039 13239,039 313239,-,-,สีพ่นซ่อมรถยนตร์,28-28/1 ถ.เทศบาล 2   ต. วัดใหม่ อ. เมืองจันทบุรี  จ.จันทบุรี    22000 ,จันทบุรี,22000
56,ร้านรุ่งวัฒนายนต์.,039 313377,-,-,-,สีพ่นซ่อมรถยนตร์,99/9  หมู่ 13     ต. คลองนารายณ์ อ. เมืองจันทบุรี  จ.จันทบุรี    22000 ,จันทบุรี,22000
57,อู่เกียรติการช่าง.,039 451425-6/ 039 418993 ,039 451425,-,-,สีพ่นซ่อมรถยนตร์,62  หมู่ 10   ต. พลับพลา ต. พลับพลา อ. เมืองจันทบุรี  จ.จันทบุรี    22000 ,จันทบุรี,22000
58,อู่ส.จันทบุรี การาจ ,039 322788 ,039 324358,-,-,สีพ่นซ่อมรถยนตร์,100/20  ซ.พระยาตรัง 9  หมู่ที่ 10  ถ.พระยาตรัง ต. ท่าช้าง  อ. เมืองจันทบุรี  จ.จันทบุรี    22000 ,จันทบุรี,22000
59,อู่พลิ้วคาร์แคร์,039 458682 /086 3133348,039 434847.,-,-,สีพ่นซ่อมรถยนตร์,16/1 หมู่ 12 ต. พลิ้ว  อ. แหลมสิงห์  จ.จันทบุรี    22190 ,จันทบุรี,22190
60,บริษัท เกียรติ การช่าง จันทบุรี จำกัด,039 451425,-,-,-,สีพ่นซ่อมรถยนตร์,62 หมู่ 10 ต. พลับพลา  อ. เมืองจันทบุรี  จ.จันทบุรี    22000 ,จันทบุรี,22000
61,บริษัท อาร์.เอส.การาจ (2007)จำกัด,-,-,-,-,สีพ่นซ่อมรถยนตร์,99 หมู่ที่ 12  ถ.พระยาตรัง ต. ท่าช้าง อ. เมืองจันทบุรี  จ.จันทบุรี    22000 ,จันทบุรี,22000
62,หจก.เอ็น.พี.เค.การาจ (2010),039 419 039 ,-,-,-,สีพ่นซ่อมรถยนตร์,27/39 หมู่ที่ 11 ต. พลับพลา  อ. เมืองจันทบุรี  จ.จันทบุรี    22000 ,จันทบุรี,22000
63,หจก.พ.ศิริภัณฑ์,038 511256,-,-,-,สีพ่นซ่อมรถยนตร์,39-41  ถ.ชุมพล    ต. หน้าเมือง อ. เมืองฉะเชิงเทรา  จ.ฉะเชิงเทรา    24000 ,ฉะเชิงเทรา,24000
64,ร้านธงไทย,038  551-539,-,-,-,สีพ่นซ่อมรถยนตร์,1415-1416 อ. พนมสารคาม  จ.ฉะเชิงเทรา    24120 ,ฉะเชิงเทรา,24120
65,บริษัท ศรีโสธร อินเตอร์ คอมเมอร์เชียล จำกัด,038 518 795,038 814 076,-,-,สีพ่นซ่อมรถยนตร์,เลขที่ 5/12   ถ.ศรีโสธรตัดใหม่ ต. หน้าเมือง   อ. เมืองฉะเชิงเทรา  จ.ฉะเชิงเทรา    24000 ,ฉะเชิงเทรา,24000
66,ร้านธงเจริญฮาร์ดแวร์,038 251366,-,-,-,สีพ่นซ่อมรถยนตร์,315/4-5 ม.12 ถ.เทพประสิทธิ์ อ. บางละมุง  จ.ชลบุรี    20150 ,ชลบุรี,20150
67,ร้านสุวิทย์ภัณฑ์ศรีราชา,038 323952,-,-,-,สีพ่นซ่อมรถยนตร์,6/79 ถ.สุขุมวิท อ. ศรีราชา  จ.ชลบุรี    20110 ,ชลบุรี,20110
68,บริษัท บุญเจริญชลบุรี จำกัด,038 799 991-2,038 799 994,-,-,สีพ่นซ่อมรถยนตร์,95/84 หมู่ที่ 6 ต. บ้านส่วน  อ. เมืองชลบุรี  จ.ชลบุรี    20000 ,ชลบุรี,20000
69,ร้านพัทยาโลหะภัณฑ์,038 428776,-,-,-,สีพ่นซ่อมรถยนตร์,300/85 หมู่ 5  ต.นาเกลือ อ. บางละมุง  จ.ชลบุรี    20150 ,ชลบุรี,20150
70,ร้านธงเจริญฮาร์ดแวร์,038 251366,-,-,-,สีพ่นซ่อมรถยนตร์,315/4-5 ม.12  ถ.เทพประสิทธิ์ ต.หนองปรือ     อ. บางละมุง  จ.ชลบุรี    20150 ,ชลบุรี,20150
71,ร้านวงษ์รัตน์,038 733281,038 733282,-,-,สีพ่นซ่อมรถยนตร์,27/3-5 หมู่ 2  ถ.ชัยพรวิถี  ต. โป่ง อ. บางละมุง  จ.ชลบุรี    20150 ,ชลบุรี,20150
72,ร้านสหชัย,038 461161,038  461961,-,-,สีพ่นซ่อมรถยนตร์,222-228   ถ.ศรีกุญชร อ. พนัสนิคม  จ.ชลบุรี    20140 ,ชลบุรี,20140
73,อู่เวชสวรรค์ การาจ,-,-,-,-,สีพ่นซ่อมรถยนตร์,31/3 หมู่ที่ 8  ถ.สุขุมวิท ต. เสม็ด   อ. เมือง  จ.ชลบุรี    20130 ,ชลบุรี,20130
74,ร้าน พ.โลหะภัณฑ์,038 444 311,-,-,-,สีพ่นซ่อมรถยนตร์,"545,547   ถ.ชลบุรี-บ้านบึง ต. บ้านบึง  อ. บ้านบึง  จ.ชลบุรี    20170 ",ชลบุรี,20170
75,ร้านพัทยาคาร์เพ้นท์,038 719 007,038 719 007,-,-,สีพ่นซ่อมรถยนตร์,222/3  หมู่ที่ 6   ถ.สุขุมวิท ต. นาเกลือ  อ. บางละมุง  จ.ชลบุรี    20150 ,ชลบุรี,20150
76,ร้านจงเจริญโฮมสโตร์,084 1228848,-,-,-,สีพ่นซ่อมรถยนตร์,152/39  หมู่ที่ 12  ถ.สุขุมวิท ต. หนองปรือ  อ. บางละมุง  จ.ชลบุรี    20150 ,ชลบุรี,20150
77,หจก.พรพรหมธาดาเพ้นท์,087 812 7235,-,-,-,สีพ่นซ่อมรถยนตร์,99/30 หมู่ที่ 8 ต. นาป่า  อ. เมืองชลบุรี  จ.ชลบุรี    20000 ,ชลบุรี,20000
78,อู่บ้านบึงการาจ,038 444311,-,-,-,สีพ่นซ่อมรถยนตร์,252/8 หมู่ที่ 8 ต. คลองกิ่ว  อ. บ้านบึง  จ.ชลบุรี    20220 ,ชลบุรี,20220
79,บริษัท รัตน์วงษ์วานิช จำกัด,038 733 281,-,-,-,สีพ่นซ่อมรถยนตร์,เลขที่ 27/3-8 หมู่ที่ 2   ถ.ชัยพรวิถี ต. โป่ง  อ. บางละมุง  จ.ชลบุรี    20150 ,ชลบุรี,20150
80,ร้านศรีนพพร,085 1857523,-,-,-,สีพ่นซ่อมรถยนตร์,182/23 หมู่ 2   ต. บางละมุง  อ. บางละมุง  จ.ชลบุรี    20150 ,ชลบุรี,20150
81,ร้านเคหะเนรมิต,038 279665,-,-,-,สีพ่นซ่อมรถยนตร์,100/27 หมู่ที่ 1  ถ.เศรษฐกิจ อ. เมือง  จ.ชลบุรี    20000 ,ชลบุรี,20000
82,ร้านพัฒนสิน,-,-,-,-,สีพ่นซ่อมรถยนตร์,296 หมุ่ 4  ต. นาเกลือ อ. บางละมุง  จ.ชลบุรี    20150 ,ชลบุรี,20150
83,ร้านพัทยาฮาร์ดแวร์,038 428666,-,-,-,สีพ่นซ่อมรถยนตร์,76/1 หมู่ 5  ต.นาเกลือ  อ. บางละมุง  จ.ชลบุรี    20150 ,ชลบุรี,20150
84,ร้านเจริญทวี,038 437301,-,-,-,สีพ่นซ่อมรถยนตร์,0461/1-2  หมู่ 2  ถ.บ้านนา อ. สัตหีบ  จ.ชลบุรี    20180 ,ชลบุรี,20180
85,หจก. สีพ่นจันทนา 1,044  836 181,044 836 182,-,-,สีพ่นซ่อมรถยนตร์,319  ม.7 ต.ในเมือง   อ. เมืองชัยภูมิ  จ.ชัยภูมิ    36000 ,ชัยภูมิ,36000
86,หจก.เจริญมิตรคอนกรีต 1990,044 882723,044 882884,-,-,สีพ่นซ่อมรถยนตร์,323 หมู่ 6   ถ.ชัยภูมิ-ภูเขียว ต.หนองไผ่  อ. แก้งคร้อ  จ.ชัยภูมิ    36150 ,ชัยภูมิ,36150
87,ร้านหนึ่งบริการ,077 541338,-,-,-,สีพ่นซ่อมรถยนตร์,23 ม.4  ถ.เขาเงิน  ต. ขันเงิน อ. หลังสวน  จ.ชุมพร    86110 ,ชุมพร,86110
88,ร้านสีรถยนต์ชุมพร,077 501874,-,-,-,สีพ่นซ่อมรถยนตร์,58/20-21 ถ.ท่าตะเภา  ต. ท่าตะเภา อ. เมืองชุมพร  จ.ชุมพร    86000 ,ชุมพร,86000
89,ร้านชุมพรนานาภัณฑ์,077 502817,-,-,-,สีพ่นซ่อมรถยนตร์,290/35 ถ.ปรมินทรมรรคา  ต. ท่าตะเภา อ. เมืองชุมพร  จ.ชุมพร    86000 ,ชุมพร,86000
90,ร้านจี่เซ่งฮวดจั่น,077 511106,-,-,-,สีพ่นซ่อมรถยนตร์,213/11 ถ.ประชาอุทิศ  ต. ท่าตะเภา อ. เมืองชุมพร  จ.ชุมพร    86000 ,ชุมพร,86000
91,ร้านธนาพร,053 11293,"053 712945, 053 717115",-,-,สีพ่นซ่อมรถยนตร์,791/1 ถ.พหลโยธิน อ. เมืองเชียงราย  จ.เชียงราย    57000 ,เชียงราย,57000
92,ร้านเพนท์เทพกิจ,053 241672,053 275621,-,-,สีพ่นซ่อมรถยนตร์,322/2 ถ.เจริญเมือง อ. เมืองเชียงใหม่  จ.เชียงใหม่    50000 ,เชียงใหม่,50000
93,ร้านวิโรจน์ยนต์,053 260888,-,-,-,สีพ่นซ่อมรถยนตร์,405/19  ถ.มหิดล  ต. ท่าศาลา อ. เมืองเชียงใหม่  จ.เชียงใหม่    50000 ,เชียงใหม่,50000
94,หจก.เชียงใหม่กิตติการค้า,053 214527,-,-,-,สีพ่นซ่อมรถยนตร์,1/5-6   ถ.ราชวิถี  ต. ศรีภูมิ อ. เมืองเชียงใหม่  จ.เชียงใหม่    50000 ,เชียงใหม่,50000
95,หจก.เชียงใหม่วีระกิจ,053 275148/ 053 273517,053 282582,-,-,สีพ่นซ่อมรถยนตร์,14/1  ถ.วัวลาย  ต. หายยา อ. เมืองเชียงใหม่  จ.เชียงใหม่    50000 ,เชียงใหม่,50000
96,หจก.วิโรจน์ยนต์วัสดุภัณฑ์,053 242114,053 241473,-,-,สีพ่นซ่อมรถยนตร์,เลขที่ 2   ถ. หนองประทีป ต. หนองป่าครั่ง อ. เมืองเชียงใหม่  จ.เชียงใหม่    50000 ,เชียงใหม่,50000
97,ร้านพี แอนด์ เอ็น,053 249922,-,-,-,สีพ่นซ่อมรถยนตร์,190/2-3  ถ.บำรุงราษฏร์ ต.วัดเกตุ  อ. เมืองเชียงใหม่  จ.เชียงใหม่    50000 ,เชียงใหม่,50000
98,ร้านทวีพรพานิช,053 211709,-,-,-,สีพ่นซ่อมรถยนตร์,112/17-18  ถ.ช้างเผือก  ต. ศรีภูมิ อ. เมืองเชียงใหม่  จ.เชียงใหม่    50200 ,เชียงใหม่,50200
99,ร้านเทพกิจการค้า,053 275621,-,-,-,สีพ่นซ่อมรถยนตร์,83/9   หมู่ 3  ถ. เชียงใหม่-ลำพูน อ. เมืองเชียงใหม่  จ.เชียงใหม่    50000 ,เชียงใหม่,50000
100,ร้านเพ้นท์ซัพพลาย,053  800 100,-,-,-,สีพ่นซ่อมรถยนตร์,359/4  ถ. มหิดล     ต. หนองหอย อ. เมืองเชียงใหม่  จ.เชียงใหม่    50000 ,เชียงใหม่,50000
101,ร้านสินชัยอะไหล่,053 244242,-,-,-,สีพ่นซ่อมรถยนตร์,72/3   หมู่ 4   ต. ฟ้าฮ่าม อ. เมืองเชียงใหม่  จ.เชียงใหม่    50000 ,เชียงใหม่,50000
102,หจก.เทพนครเชียงใหม่,053 242379,-,-,-,สีพ่นซ่อมรถยนตร์,68-70 ถ.เจริญเมือง ต. วัดเกต  อ. เมืองเชียงใหม่  จ.เชียงใหม่    50000 ,เชียงใหม่,50000
103,ร้านศรีตรังออโต้เพ้นท์,075 219696,075 219696,-,-,สีพ่นซ่อมรถยนตร์,300-300/1 ถ.ห้วยยอด ต.ทับเที่ยง อ. เมืองตรัง  จ.ตรัง    92000 ,ตรัง,92000
104,หจก.เอี้ยท่งฮวด,-,075 219517,-,-,สีพ่นซ่อมรถยนตร์,11-11/1-4 ถ.วิเศษกุล อ. เมืองตรัง  จ.ตรัง    92000 ,ตรัง,92000
105,บริษัท ศรีวิชัย คาร์เพ้นท์ จำกัด,086 7451234,-,-,-,สีพ่นซ่อมรถยนตร์,237  ถ.ห้วยยอด   ต. ทับเที่ยง อ. เมืองตรัง  จ.ตรัง    92000 ,ตรัง,92000
106,ร้านจินดาเทค,075 210121,-,-,-,สีพ่นซ่อมรถยนตร์,74  ถ.ห้วยยอด    ต.ทับเที่ยง  อ. เมืองตรัง  จ.ตรัง    92000 ,ตรัง,92000
107,บริษัท ศิริรักษ์ เซอร์วิส (2009),-,-,-,-,สีพ่นซ่อมรถยนตร์,94/1 ม.1  ต. หนองโสน อ. เมืองตราด  จ.ตราด    23000 ,ตราด,23000
